iter	Logloss
0	0.6868767432
1	0.6817489928
2	0.6758424339
3	0.6703747477
4	0.6650596029
5	0.6599420348
6	0.6553088428
7	0.6505187221
8	0.645896374
9	0.6409477376
10	0.6362071637
11	0.6322014742
12	0.6276701771
13	0.6236311191
14	0.6198912388
15	0.6156302379
16	0.6121065989
17	0.6076879014
18	0.6033532897
19	0.5993195083
20	0.5954823007
21	0.5917730188
22	0.5883826083
23	0.5848940256
24	0.5814441794
25	0.5776611502
26	0.5745841688
27	0.5715178943
28	0.5687892187
29	0.5661331559
30	0.5629401503
31	0.5612413586
32	0.5580344557
33	0.5548336264
34	0.5521438229
35	0.5498381587
36	0.5477337918
37	0.5449978279
38	0.5424647567
39	0.5399928936
40	0.5365695422
41	0.5338662859
42	0.5314096086
43	0.5287425762
44	0.5258735932
45	0.523421982
46	0.52074595
47	0.5179529873
48	0.5156191398
49	0.5135544143
50	0.5109503225
51	0.5087342445
52	0.5070342298
53	0.5042921689
54	0.5019634165
55	0.4999036521
56	0.4976610126
57	0.4953540424
58	0.4935500144
59	0.4916979703
60	0.4897448732
61	0.4877019559
62	0.4858277091
63	0.4840958882
64	0.4821470397
65	0.4809467347
66	0.4793589015
67	0.4774450882
68	0.4757248531
69	0.473889162
70	0.4724672757
71	0.4708441289
72	0.4690098273
73	0.4683527847
74	0.4672843634
75	0.4656992038
76	0.4640849559
77	0.4626082091
78	0.4609499462
79	0.4592662131
80	0.4582472454
81	0.4576952054
82	0.4563014251
83	0.4548747095
84	0.4534553659
85	0.4520930438
86	0.4504011342
87	0.4491340999
88	0.4477385663
89	0.4464099465
90	0.4451081492
91	0.4443184809
92	0.4431890574
93	0.441908971
94	0.4405559011
95	0.4396006945
96	0.4384517156
97	0.4372077125
98	0.4360513956
99	0.4344646551
100	0.4333005623
101	0.4320690409
102	0.4316417641
103	0.4306543618
104	0.4297272996
105	0.4285855358
106	0.4278767039
107	0.426825348
108	0.4256925043
109	0.4248485284
110	0.4237916269
111	0.4228687397
112	0.4217595688
113	0.4208966032
114	0.4200222811
115	0.4190089463
116	0.418131938
117	0.4173933275
118	0.4164718674
119	0.4154766454
120	0.4147063031
121	0.413863419
122	0.4129480972
123	0.4122674932
124	0.4110208678
125	0.4102610968
126	0.4095045891
127	0.4082655483
128	0.4075458158
129	0.407202979
130	0.4066072056
131	0.4058984473
132	0.4055930444
133	0.4047056821
134	0.404009192
135	0.403350627
136	0.4024025039
137	0.4015151416
138	0.4011362059
139	0.4006547228
140	0.3999629742
141	0.3991495325
142	0.3983780506
143	0.3982191843
144	0.3977903068
145	0.3969642936
146	0.3960231453
147	0.3955002335
148	0.3944875125
149	0.3939953814
150	0.3932756739
151	0.3924606634
152	0.3920251003
153	0.3914513157
154	0.3908566634
155	0.3899234416
156	0.3891839441
157	0.3885104132
158	0.3878954911
159	0.3873832122
160	0.3867054044
161	0.3859917565
162	0.3852111893
163	0.3846923016
164	0.3843517482
165	0.3838970289
166	0.3832286482
167	0.3827070571
168	0.3821547949
169	0.381658673
170	0.3813626079
171	0.3807722458
172	0.3800749192
173	0.3794180104
174	0.3790125252
175	0.37869847
176	0.3781036041
177	0.3776250483
178	0.3771827253
179	0.3766094234
180	0.3760825511
181	0.3758529942
182	0.3754228547
183	0.3749368582
184	0.374307149
185	0.3736153446
186	0.3731731555
187	0.3725365414
188	0.3720409256
189	0.3715187118
190	0.3709176695
191	0.3704988315
192	0.3699270418
193	0.3694169727
194	0.3689357532
195	0.368817463
196	0.3682808481
197	0.3677961614
198	0.3673314719
199	0.366964444
200	0.3667644711
201	0.3664090958
202	0.365840434
203	0.3651504397
204	0.3645480054
205	0.3641736989
206	0.3636841968
207	0.3628443429
208	0.362549939
209	0.3623121059
210	0.3621624336
211	0.361641875
212	0.3610240932
213	0.3603146782
214	0.3599749752
215	0.3595956265
216	0.3590926889
217	0.3585155707
218	0.3583293903
219	0.3579431175
220	0.357496131
221	0.3570951402
222	0.3567751039
223	0.3564114501
224	0.3561087972
225	0.355771045
226	0.3551243852
227	0.3547594765
228	0.354074391
229	0.3536101963
230	0.3531769254
231	0.352855381
232	0.3523819972
233	0.3521003338
234	0.3516371892
235	0.3512533856
236	0.3509488164
237	0.350412953
238	0.350012599
239	0.3497416075
240	0.3494021187
241	0.3489157625
242	0.3486802027
243	0.3480158649
244	0.34752763
245	0.347089828
246	0.3468138356
247	0.3466599112
248	0.3461464348
249	0.3457584866
250	0.3452520323
251	0.3449390425
252	0.3447150149
253	0.3443501589
254	0.3441226729
255	0.3437993511
256	0.3433757106
257	0.3431055698
258	0.3426622872
259	0.342227495
260	0.3417888968
261	0.3414357262
262	0.3410412175
263	0.340717628
264	0.3405579074
265	0.3401270153
266	0.3398083573
267	0.3396583088
268	0.3391558686
269	0.3387295375
270	0.3384582003
271	0.338135428
272	0.3379436615
273	0.3377202816
274	0.3374826164
275	0.3372136627
276	0.3365964549
277	0.3362442795
278	0.3359713441
279	0.3355747881
280	0.3352337389
281	0.3346502506
282	0.3345003646
283	0.3341317761
284	0.333788147
285	0.3333762983
286	0.3329437115
287	0.3326756921
288	0.3321665747
289	0.3317621852
290	0.3315330426
291	0.3312043848
292	0.3308604551
293	0.3303565741
294	0.3300618356
295	0.3296792072
296	0.3293535659
297	0.3290962442
298	0.3288546678
299	0.3283993675
300	0.3280811129
301	0.3278549526
302	0.3275713408
303	0.3273293216
304	0.3269838846
305	0.326779142
306	0.3264499141
307	0.3261714362
308	0.325948479
309	0.3256382958
310	0.3253627503
311	0.3251249354
312	0.3248094046
313	0.3244191596
314	0.3239668801
315	0.3235572525
316	0.3232984898
317	0.3229917137
318	0.3229611785
319	0.3228375898
320	0.3226244097
321	0.3221611565
322	0.3219847133
323	0.3217312097
324	0.3212685704
325	0.3209072384
326	0.3206609023
327	0.3203628618
328	0.3200513513
329	0.3196032464
330	0.3193102996
331	0.3190223345
332	0.3188564184
333	0.3185616574
334	0.3183359843
335	0.317996185
336	0.3176699728
337	0.3173631774
338	0.317108916
339	0.316818005
340	0.316489104
341	0.3162267719
342	0.3158465205
343	0.3157147183
344	0.3154852105
345	0.3152632275
346	0.3149436921
347	0.3147590482
348	0.314196837
349	0.3140051168
350	0.3136885473
351	0.3135169995
352	0.3134845595
353	0.3132516571
354	0.3129091575
355	0.3126403991
356	0.3124663105
357	0.3121946106
358	0.3120219385
359	0.3117961815
360	0.3116297635
361	0.311325954
362	0.3111747692
363	0.3107254389
364	0.3104684967
365	0.3102568977
366	0.3100090606
367	0.3096779757
368	0.309448903
369	0.3092228405
370	0.3089541944
371	0.3088210582
372	0.3088098228
373	0.3085699486
374	0.3080729901
375	0.3075921892
376	0.3073575582
377	0.3069760004
378	0.3066097037
379	0.3062666733
380	0.3060643345
381	0.3058563424
382	0.3056613523
383	0.305513995
384	0.3051956232
385	0.3049047654
386	0.3046354447
387	0.3044526948
388	0.3041194668
389	0.3037695503
390	0.3034994249
391	0.3032940201
392	0.3030546346
393	0.3027846692
394	0.3026160922
395	0.3023438104
396	0.3022945976
397	0.3020338794
398	0.3017978062
399	0.3017260869
400	0.3014571198
401	0.3012463857
402	0.3011059927
403	0.3008144553
404	0.3005123507
405	0.3002305119
406	0.3000101379
407	0.2997216361
408	0.2993379223
409	0.2990259444
410	0.2988615799
411	0.298646552
412	0.2983895576
