iter	Passed	Remaining
0	2	2731
1	4	2352
2	6	2103
3	7	1956
4	9	1901
5	11	1865
6	13	1903
7	14	1814
8	16	1819
9	18	1870
10	20	1836
11	21	1781
12	23	1771
13	24	1750
14	26	1750
15	28	1737
16	29	1723
17	31	1732
18	34	1779
19	36	1767
20	37	1753
21	39	1746
22	40	1718
23	42	1708
24	43	1704
25	45	1694
26	47	1706
27	49	1720
28	50	1692
29	52	1688
30	53	1686
31	54	1657
32	56	1649
33	57	1645
34	59	1643
35	61	1640
36	62	1636
37	64	1644
38	66	1643
39	68	1642
40	69	1637
41	71	1631
42	73	1628
43	74	1625
44	76	1621
45	78	1629
46	80	1634
47	82	1631
48	83	1626
49	85	1630
50	87	1626
51	88	1621
52	90	1611
53	92	1612
54	94	1627
55	96	1623
56	98	1623
57	99	1618
58	101	1613
59	102	1611
60	104	1609
61	106	1605
62	107	1600
63	110	1611
64	111	1610
65	113	1602
66	114	1597
67	116	1593
68	118	1592
69	119	1588
70	121	1584
71	122	1580
72	125	1594
73	126	1582
74	128	1578
75	130	1582
76	132	1589
77	133	1582
78	135	1579
79	137	1578
80	138	1576
81	140	1568
82	141	1565
83	143	1564
84	145	1563
85	146	1559
86	148	1556
87	149	1554
88	151	1553
89	154	1558
90	156	1560
91	158	1563
92	160	1560
93	161	1557
94	163	1553
95	164	1552
96	166	1549
97	167	1545
98	170	1551
99	172	1555
100	174	1553
101	176	1552
102	177	1549
103	179	1546
104	181	1542
105	182	1540
106	184	1541
107	187	1545
108	188	1544
109	190	1540
110	191	1537
111	193	1535
112	195	1533
113	196	1530
114	198	1526
115	202	1539
116	203	1537
117	205	1534
118	206	1531
119	208	1529
120	210	1526
121	211	1523
122	213	1521
123	215	1522
124	217	1523
125	219	1521
126	221	1520
127	222	1517
128	224	1514
129	225	1509
130	227	1507
131	228	1505
132	230	1505
133	233	1508
134	235	1506
135	236	1503
136	238	1500
137	239	1498
138	241	1496
139	243	1494
140	244	1491
141	247	1494
142	249	1493
143	250	1486
144	251	1483
145	253	1480
146	254	1477
147	256	1476
148	258	1474
149	259	1471
150	261	1472
151	264	1473
152	265	1471
153	267	1468
154	268	1466
155	270	1464
156	272	1461
157	273	1459
158	275	1457
159	278	1462
160	280	1460
161	281	1457
162	283	1455
163	285	1453
164	286	1451
165	288	1449
166	290	1448
167	292	1450
168	294	1448
169	296	1445
170	297	1443
171	299	1441
172	301	1439
173	302	1436
174	304	1434
175	305	1432
176	308	1433
177	310	1431
178	311	1430
179	313	1427
180	314	1425
181	316	1423
182	318	1421
183	319	1418
184	321	1416
185	324	1420
186	326	1418
187	327	1416
188	329	1413
189	331	1412
190	332	1410
191	334	1407
192	336	1404
193	338	1405
194	340	1406
195	341	1401
196	343	1399
197	345	1398
198	346	1396
199	348	1394
200	349	1391
201	351	1389
202	356	1399
203	358	1400
204	360	1399
205	363	1399
206	365	1399
207	367	1398
208	370	1403
209	373	1403
210	376	1408
211	380	1414
212	382	1413
213	385	1416
214	388	1418
215	390	1418
216	392	1417
217	395	1418
218	397	1417
219	400	1418
220	403	1421
221	405	1420
222	407	1419
223	409	1419
224	411	1418
225	413	1417
226	417	1422
227	419	1420
228	421	1419
229	423	1419
230	425	1418
231	428	1416
232	430	1417
233	433	1418
234	435	1418
235	438	1419
236	440	1418
237	442	1417
238	445	1418
239	448	1418
240	450	1417
241	452	1417
242	454	1416
243	456	1415
244	459	1415
245	462	1417
246	464	1416
247	467	1416
248	469	1414
249	471	1413
250	473	1413
251	475	1411
252	478	1412
253	480	1412
254	482	1410
255	484	1408
256	486	1407
257	489	1407
258	491	1406
259	493	1405
260	495	1403
261	497	1400
262	498	1397
263	500	1394
264	502	1392
265	503	1390
266	506	1391
267	509	1390
268	510	1388
269	512	1385
270	514	1382
271	515	1380
272	517	1377
273	518	1374
274	557	1469
275	559	1468
276	561	1466
277	564	1465
278	571	1476
279	575	1479
280	578	1479
281	580	1479
282	582	1475
283	584	1472
284	585	1469
285	587	1466
286	589	1463
287	590	1460
288	592	1457
289	594	1454
290	596	1453
291	598	1451
292	600	1448
293	602	1445
294	603	1442
295	605	1439
296	606	1436
297	608	1433
298	610	1431
299	613	1430
300	614	1427
301	616	1424
302	617	1421
303	619	1418
304	621	1415
305	622	1412
306	624	1409
307	626	1408
308	628	1406
309	630	1402
310	632	1400
311	633	1397
312	635	1394
313	636	1391
314	638	1388
315	640	1385
316	642	1385
317	644	1382
318	645	1379
319	647	1375
320	648	1372
321	650	1369
322	652	1367
323	653	1364
324	655	1361
325	659	1362
326	660	1359
327	662	1357
328	663	1354
329	665	1351
330	667	1348
331	668	1345
332	670	1343
333	673	1342
334	674	1339
335	676	1337
336	678	1334
337	679	1331
338	681	1328
339	683	1326
340	684	1323
341	686	1320
342	689	1320
343	691	1317
344	692	1315
345	694	1312
346	695	1309
347	697	1306
348	699	1304
349	700	1301
350	702	1299
351	704	1297
352	706	1294
353	707	1291
354	709	1288
355	710	1286
